AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4171.666667,4187.564102,4188.717949,4199.615384,4141.538461,4168.589743,4158.205128,4183.974359,4197.307692,4150.769231,4141.153846,4412.564103,4311.282051,4222.307692
4175.769231,4189.871795,4195.384615,4201.666667,4147.179487,4168.333333,4157.692307,4185.769231,4199.74359,4148.717949,4148.076923,4415.256411,4312.564103,4225
4182.435897,4187.948718,4197.179487,4196.666667,4144.102564,4166.794872,4158.333333,4178.589743,4193.717949,4145.641025,4154.230769,4414.48718,4311.025641,4224.487179
4176.794872,4184.487179,4186.410256,4188.076923,4144.74359,4169.230769,4161.666666,4168.846154,4185.51282,4146.923077,4153.846154,4411.923077,4311.025641,4221.794872
4170.25641,4185.25641,4182.692308,4187.051282,4146.666666,4170.769231,4163.333333,4167.307692,4183.717949,4149.102564,4151.794872,4409.48718,4307.307692,4221.153846
4173.076923,4185.641026,4188.461538,4187.692308,4140,4169.487179,4162.307692,4168.461538,4178.589743,4147.692307,4154.358974,4407.307693,4301.794872,4218.717949
4176.410256,4185.128205,4187.179487,4184.102564,4142.820513,4168.974359,4156.282051,4166.923077,4170.384615,4145.769231,4156.025641,4406.923077,4311.282051,4215
4179.615384,4189.230769,4185.51282,4185.897436,4142.948718,4170.641026,4145.641025,4167.948718,4175.128205,4145.25641,4144.871795,4408.974359,4329.230769,4217.051282
4183.589743,4198.333333,4190.25641,4197.307692,4143.076923,4170.769231,4136.282051,4170,4185.897436,4143.846154,4123.461538,4412.948718,4331.282051,4223.333333
4184.358974,4201.666667,4190.897436,4202.179487,4146.794872,4172.179487,4135,4170.51282,4187.435897,4144.615384,4107.179487,4416.538462,4327.564103,4227.435897
4183.333333,4194.230769,4184.615384,4193.589743,4142.435897,4169.615384,4136.153846,4171.282051,4184.615384,4148.205128,4098.076923,4414.615385,4327.820513,4227.307692
4183.205128,4194.487179,4182.307692,4190,4146.410256,4161.153846,4133.333333,4169.74359,4181.923077,4149.487179,4091.666666,4414.23077,4317.179487,4225.769231
